Text,Label
modern jeepneys have better air conditioning.,0
traditional jeepneys are a cultural treasure.,1
traditional jeepneys have a distinct personality.,1
modern jeepneys have better accessibility features.,0
modern jeepneys are more spacious.,0
modern jeepneys have better amenities.,0
traditional jeepneys represent a simpler time.,1
traditional jeepneys are a part of our culture and history,1
traditional jeepneys are a part of our heritage.,1
modern jeepneys have better suspension.,0
traditional jeepneys have character.,1
modern jeepneys have more modern technology.,0
traditional jeepneys are a piece of history.,1
traditional jeepneys have a unique charm that modern jeepneys lack.,1
modern jeepneys are safer and more efficient.,0
traditional jeepneys are a source of nostalgia.,1
traditional jeepneys are a testament to our resilience.,1
modern jeepneys are more environmentally friendly.,0
modern jeepneys have better seating arrangements.,0
modern jeepneys have more legroom.,0
traditional jeepneys are an iconic symbol of our country.,1
traditional jeepneys have a nostalgic quality.,1
modern jeepneys have better sound systems.,0
traditional jeepneys are a reminder of our past.,1
modern jeepneys have better safety features,0
